Allele ID(s)	MGI Marker Accession ID	PubMed ID	Mammalian Phenotype ID	MP term name	Entity 1	Quality 1	Quality 2	Entity 2
MGI:4457055	MGI:1859211	20196077	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:1861228	MGI:1914921	14779008	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2448055	MGI:1916147	12372258	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3045965	MGI:1922667	12782276	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3783769	MGI:1922667	18067586	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:4437845	MGI:1924238	17473173	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3045113	MGI:1931028	15703196	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3722127	MGI:1933331	17254625	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3039046	MGI:2176159	15030763	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:1856594	MGI:2180197	1652607	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:4439269	MGI:2180197	21068328	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3621893	MGI:2442252	16207730	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2684070	MGI:2443471	14526104	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:2684137	MGI:2443471	14597661	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
MGI:3522333	MGI:3522251	15548583	MP:0000550	abnormal forelimb morphology	UBERON:0002102 ! forelimb	PATO:0000051 ! morphology	PATO:0000460 ! abnormal	
